URL,Title,Summary,Published
https://www.tijd.be/r/t/1/id/10251728,Europese Unie gaat zelf groene obligaties uitgeven,16/09/2020 Europees Commissievoorzitster Ursula von der Leyen legde in haar eerste State of the Union een plan voor een groen en digitaal herstel voor. De Europese fragiliteit moet plaats maken voor vitaliteit.,"Wed, 16 Sep 2020 06:30:01 GMT"
https://www.tijd.be/r/t/1/id/10250656,Regering-Wilmès gaat door tot 1 oktober,10/09/2020 Premier Sophie Wilmès vraagt pas op 1 oktober en niet op 17 september het vertrouwen van de Kamer. De Vivaldi-partijen zijn het daarover eens.,"Thu, 10 Sep 2020 20:16:57 GMT"
https://www.tijd.be/r/t/1/id/10245277,Missie De Wever en Magnette op springen,"14/08/2020 Bart De Wever (N-VA) en Paul Magnette (PS) mogen met hun bubbel van vijf partijen dicht bij een meerderheid zijn, ‘toch lijkt het einde van de missie te naderen’, is te horen in de entourage van de pr...","Thu, 13 Aug 2020 23:00:05 GMT"
https://www.tijd.be/r/t/1/id/10450775,Demir haalt bakzeil in strijd tegen capaciteitstarief,16:23 Het Brusselse hof van beroep heeft het beroep dat Vlaams minister van Energie Zuhal Demir heeft aangespannen tegen het capaciteitstarief van de VREG ongegrond verklaard.,"Wed, 01 Mar 2023 15:23:20 GMT"
https://www.tijd.be/r/t/1/id/10450784,Bureau van Kamer stuit op 'onwettige' pensioenextra's,16:12 Acht hoge ambtenaren van de Kamer genieten of hebben genoten van pensioenextra's die onwettig tot stand zijn gekomen. Ook bij de extra vergoeding voor twee oud-Kamervoorzitters - Herman De Croo en Sie...,"Wed, 01 Mar 2023 15:12:49 GMT"
https://www.tijd.be/r/t/1/id/10450772,"Bola Tinubu, omstreden 'godfather van Lagos' moet Nigeria uit het slop halen","15:27 Bola Tinubu is verkozen tot president van Nigeria, de grootste Afrikaanse economie, die kreunt onder moslimterreur en terugvallende olie-inkomsten. Tinubu deed Lagos eerder uitgroeien tot een commerci...","Wed, 01 Mar 2023 14:27:07 GMT"
https://www.tijd.be/r/t/1/id/10450698,Fins parlement keurt NAVO-toetreding goed,15:00 Finland gooit zijn neutraliteit overboord en kiest resoluut voor het NAVO-lidmaatschap. Maar dan moeten Turkije en Hongarije hun verzet tegen de toetreding opgeven.,"Wed, 01 Mar 2023 14:00:40 GMT"
https://www.tijd.be/r/t/1/id/10450730,'Ontgoochelde' Jambon zonder stikstofakkoord naar parlement,"14:15 De Vlaamse regering is er na een marathonvergadering van bijna 17 uur niet in geslaagd een stikstofakkoord te sluiten, waardoor minister-president Jan Jambon met lege handen naar het parlement moest. ...","Wed, 01 Mar 2023 13:15:27 GMT"
https://www.tijd.be/r/t/1/id/10450754,Bij het brugpensioen van Marc Leemans heeft iedereen boter op het hoofd,13:48 De verontwaardiging over de beslissing van ACV-voorzitter Marc Leemans om met brugpensioen te gaan is totaal. Maar in het symbooldossier is er ook een politieke verantwoordelijkheid: geen enkele reger...,"Wed, 01 Mar 2023 12:48:36 GMT"
https://www.tijd.be/r/t/1/id/10450735,Macron op zoek naar nieuwe rol van Frankrijk in Afrika,"11:21 Met een trip naar Centraal-Afrika vat de Franse president Emmanuel Macron een nieuw hoofdstuk in de relaties met het continent aan. Nu Rusland en China er almaar steviger voet aan grond krijgen, versc...","Wed, 01 Mar 2023 10:21:46 GMT"
